key	lnum	page	text
aka	1	0003	(1) “aka kuwilAyAM gatO” ( I-BvAdiH -792 sakarmakaH-sew-parasmEpadI) GawAdiH mit . ‘iditastvaNkate tatra kuwilAyAM gatAvaket .’ ( Slo 41) iti devaH . Ric- san - Rvul AkakaH—kikA , 1 akakaH—kikA, acikiza 1A kaH—zikA ; tfc (tfn) akitA-trI, akayitA-trI, acikizitA-trI ; SatA akan-ntI, akayan-ntI, acikizan-ntI ; akizyan-ntI-tI, akayizyan-tI-ntI, acikizizyan-ntI-tI ; SAnac akayamAnaH, akayizyamARaH ; kvip ak-akO akaH ; nizWA akitam - A taH, akitaH, acikizitaH-tam-tavAn ; anye pratyayAH akaH, akaH , 2 acikizuH, acikayizuH ; tavyaH akitavyam, akayitavyam, acikizitavyam ; anIyar akanIyam, akanIyam, acikizaRIyam ; Ryat or yat Akyam, akyam, acikizyam ; Kal IzadakaH-durakaH-svakaH ; yak akyamAnaH, akyamAnaH, acikizyamARaH ; GaY AkaH, akaH, acikizaH ; tumun akitum, akayitum, acikizitum ; ktin 2A aktiH, akanA, acikizA 3 , acikayizA ; [Page0004+ 35] lyuw akanam, akanam, acikizaRam ; ktvA akitvA, akayitvA, acikizitvA ; lyap samakya, samakayya 1 , samacikizya ; ktvARamulO akitvA 2, AkamAkam , 2 Akam 2, akam 2, akayitvA 2, acikizam 2 ; acikizitvA 2; 1. ‘mitAM hrasvaH’ (6-4-92) iti RO upaDAyA hrasvaH . 1A ‘ajAderdvitIyasya’ (6-1-2) iti dvitIya - syEkAcaH dvitvam . ‘kuhoScuH’ (7-4-62) ityaByAsasya cutvam . A. ‘asAgyamAsraM sTagaye kaTaM vA kagAmi kiM vA haraye'kitAya’ DAtu - kAvye 2-8. SlokaH . 2. ‘sanASaMsaBikza uH’ (3-2-168) iti uH pratyayaH . 2A ‘titutra—’ (7-2-9) itIRRizeDaH . 3. ‘a pratyayAt’ (3-3-102) iti striyAmakAraH pratyayaH . wAp . 1. ‘lyapi laGupUrvAt’ (6-4-56) iti RerayAdeSaH . 2. ‘ciRRamulordIrGo'nyatarasyAm’ (6-4-93) ityupaDAyA dIrGavikalpaH .
aki	2	0004	(2) “aki lakzaRe” ( BvAdiH -I-87. saka-sew-AtmanepadI . ) lakzaRaM = cihram . ‘iditastvaNkate tatra kuwilAyAM gatAvaket .’ ( Slo 41) iti devaH . a 3 NkakaH—NkikA, aNkakaH-kikA , 4 aYcikizakaH—zikA ; aNkitA-trI, aNkayitA-trI, aYcikizitA-trI ; aNkayan-ntI, aNkayizyan-ntI-tI ; aNkamAnaH, aNkayamAnaH, aYcikizamARaH ; aNkizyamARaH, aNkayizyamARaH, aYcikizizyamARaH ; an 5 -aNkO-aNkaH ; aNkitaH - B taM, aNkitaH-tam-tavAn, aYcikizitaH-tavAn ; aNkaH, aNkaH, aYcikizuH, aYcikayizuH ; aNkitavyam, aNkayitavyam, aYcikizitavyam ; aNkanIyam, aNkanIyam, aYcikizaRIyam ; aNkyam, aNkyam, aYcikizyam ; IzadaNkaH-duraNkaH-svaNkaH ; 6 aNkyamAnaH, aNkyamAnaH, aYcikizyamARaH ; [Page0005+ 29] aNkaH, paryaNkaH - 1 palyaNkaH, aNkaH, aYcikizaH ; aNkitum, aNkayitum, aYcikizitum ; aNkA 2 , aNkanA, aYcikizA, aYcikayizA ; aNkanam , 3 prANkanam aNkanam, aYcikizaRam ; aNkitvA, aNkayitvA, aYcikizitvA ; samaNkya, samaNkya, samaYcikizya ; aNkamaNkam 2 aNkitvA 2, aNkam 2, aNkayitvA 2, aYcikizam ; 2 aYcikizitvA ; 2 aNkuraH 4 ; 3. ‘idito num DAtoH’ (7-1-58) iti num . 4. ‘na ndrAH saMyogAdayaH’ (6-1-3) iti nakArasya dvitvanizeDaH . ‘kuhoScuH’ (7-4-62) ityaByAsasya cakAraH .. 5. ‘saMyogAntasya lopaH’ (8-2-23) . B. ‘PalANkitAn vaNkitavallimaNkitAn vanapradeSAn urukAkakokilAn’ DA-kA . 1-13. 6. idittvAt ‘aniditAM’ (6-4-24) iti nalopo na . 1. ‘pareSca GANkayoH’ (8-2-22) iti latvaM vA . maYca ityarTaH . 2. ‘guroSca halaH’ (3-3-103) iti striyAM akArapratyayaH . 3. ‘ijAdessanumaH’ (8-4-32) iti niyamAt RatvaM na . 4. ORAdika urac .
akzU	3	0005	(3) “akzU vyAptO” ( BvAdiH -I-654. saka-vew-para .) ‘saMGAte ca’ iti kzIrasvAmI . akzakaH-kzikA, akzakaH-kzikA, acikzizakaH-zikA ; 5 akzitA-trI, azwA-zwrI, akzayitA-trI, acikzizitA-trI ; akzan-ntI, akzayan-ntI, acikzizan-ntI ; 6 akzRuvan-vatI , akzizyan-akzyan-tI-ntI, akzayizyan-tI-ntI, acikzizizyan-tI-ntI ; akzayamARaH, akzayizyamARaH ; aw 7 -akzO-akzaH, ak 8 akzO-akzaH , 9 azwaH-zwam-zwavAn, akzitaH, acikzizitam-taH-tavAn ; [Page0006+ 24] akzaH, akzaH , 1 kAzWAkzaH (jvalanaH), acikzizuH, acikzayizuH ; akzitavyam azwavyam akzayitavyam, acikzizitavyam ; akzaRIyam, akzaRIyam, acikzizaRIyam ; akzyam, akzyam, acikzizyam ; IzadakzaH-durakzaH-svakzaH ; akzyamARaH, akzyamARaH, acikzizyamARaH ; akzaH, akzaH, acikzizaH ; akzitum-azwum, akzayitum, acikzizitum ; azwiH, akzaRA, acikzizA, acikzayizA ; akzaRam, akzaRam, acikzizaRam ; akzitvA, azwvA, akzayitvA, acikzizitvA ; samakzya, samakzya, samacikzizya ; akzam 2, akzitvA 2, azwvA 2 akzam 2, akzayitvA 2, acikzizam 2, acikzizitvA 2, akzi 2 .. 5. ‘svaratisUti—’ (7-2-44) itIqvikalpaH . 6. ‘akzo'nyatarasyAm’ (3-1-75) iti vA SnuH . uvaN . 7. ‘skoH—’ (8-2-29) iti kalopaH . 8. ‘saMyogAntasya lopaH’ (8-2-23) . 9. UdittvAt, ‘yasya viBAzA’ (7-2-15) itIRRizeDaH . kakAralopaH . 1. ‘karmaRyaR’ (3-2-1) ityaR . 2. ORAdika in pratyayaH .
aga	4	0006	(4) “aga kuwilAyAM gatO” ( BvAdiH -I-793 -saka . se . para .) GawAdiH . AgakaH-gikA, agakaH-gikA, ajigizakaH-zikA; ityAdi sarvaM aka (1.) GAtuvat bodDavyam .
agi	5	0006	(5) “agi gatO” ( BvAdiH -I-146 -saka . se . para .) aNgan-ntI, aNgizyan-ntI-tI, aNgayan-ntI, aNgayizyan-ntI-tI ; aYjigizan-ntI ityAdirUpARi vinA, avaSizwAni aki (2.) DAtuvat bodDavyAni . asya DAtorORAdike nipratyaye nalope (aNgati = jvAlArUpeRodrDvaM gacCati ityarTe) agniH .. [Page0007+ 27] saMjYAyAM GaH = aNgam . praSastAni aNgAni yasyAH sA = aNganA . ‘aNgAt kalyARe’ (ga . sU, -5-2-100) iti pAmAditvAt naH pratyayaH . ‘vila - NgadeRaM SabarANganAjanapravaNgitaM maNgalaDenutaNgitam’ DA-kA . 1-20.
aGi	6	0007	(6) ‘aGi gatyAkzepe’ ( BvAdiH -I-109 -saka . sew-A .) gatyAkzepo = nindA (gatO-gatyAramBe ca) . aNGakaH-NGikA, aYjiGizakaH-zikA, ityAdirUpARi ‘aki lakzaRe’ (2.) iti DAtuvad boDyAni . aNGitam = BAve ktaH ‘araNki kolErlaGu tadraTasvanAt prabudDya siMhEH punaraNGitaM sadA’ DA . kA -1-15.
aNka	7	0007	(7) ‘aNka pade lakzaRe ca’ (X-1927 -curAdiH saka . sew-uBa-) adantaH . ‘aNka lakzaRa ityasya BavedaNkayatIti RO’ ( Slo 41) iti devaH . 1 aNkakaH-NkikA, aYcikayizakaH-zikA ; aNkayitA-trI, aYcikayizitA-trI ; aNkayan-ntI, aYcikayizan-ntI ; aNkayizyan-ntI-tI, aYcikayizizyan-tI-ntI ; aNkayamAnaH, aYcikayizamARaH ; aNkayizyamARaH, aYcikayizizyamARaH ; an-aNkO-aNkaH ; aNkitam-taH-tavAn, aYcikayisitaH-tavAn ; aNkaH, aYcikayizuH ; aNkayitavyam, aYcikayizitavyam ; aNkanIyam, aYcikayizaRIyam ; aNkyam, aYcikayizyam ; IzadaNkaH-duraNkaH-svaNkaH ; aNkyamAnaH, aYcikayizyamARaH ; aNkaH, aYcikayizaH ; aNkayitum, aYcikayizitum ; aNkanA, aYcikayizA ; [Page0008+ 37] aNkanam, aYcikayizaRam ; aNkayitvA, aYcikayizitvA ; samaNkya, samaYcikayizya ; aNkam 2, aNkayitvA 2, aYcikayizam 2 aYcikayizitvA 2 1. DAtornityaRijantatvAt RijrahitAdrUpARi na Bavanti . anekAc - tvAd yaNantarUpARyapi na .
aNga	8	0008	(8) ‘aNga pade lakzaRe ca’ (X-1928 -curAdiH-saka . sew-uBa-) adantaH . pUrvaDAtuvat (7) sarvARi rUpARi jYeyAni .
aja	9	0008	(9) “aja gatikzepaRayoH” ( BvAdiH -I-230 -saka . sew-para- ) kzepaRam = preraRam . 1 vAyakaH-yikA, vAyakaH-yikA vivIzakaH - 2 ajijizakaH-zikA,; vevIyaka ; 1 vetA-trI , 2 ajitA-trI, vAyayitA-trI, vivIzitA-trI, ajijizitA, vevIyitA-trI ; ajan A -ntI, vAyayan-ntI, vivIzan-ntI, ajijizan-ntI ; vezyan-ntI-tI, ajizyan-tI-ntI, bAyayizyan-tI-ntI, vivIzizyan-tI-ntI, ajijizizyan-tI-ntI ; vAyayamAnaH, vAyayizyamARaH, vevIyamAnaH, vevIyizyamARaH ; parivIH-parivyO-parivyaH, samak-samajO-samajaH ; vItaH, ajitaH-vAyitam-taH, vivIzitaH, ajijizitaH, vevIyitaH-tam-tavAn , ajaH , A ajA , 3 AjiH , 4 padAjiH , 4 vivIzuH, vivAyayizuH, ajijizuH , AjijayizuH, vebIya ; [Page0009+ 39] vetavyam-ajitavyam, vAyayitavyam, vivIzitavyam, ajijizitavyam , vevIyitavyam ; vayanIyam, vAyanIyam, vivIzaRIyam, ajijizaRIyam, vevIyanIyam ; veyam, vAyyam, vivIzyam, ajijizyam, vevIyyam ; IzadvayaH, durvayaH, suvayaH ; vIyamAnaH, vAyyamAnaH, vivIzyamARaH, ajijizyamARaH; vevIyyamAnaH ; 1 samajaH , 1A samAjaH B , udAjaH, -vAyaH, vAta C majA 2 H (mfgAH), vyajaH 3 , vyAjaH D ; vetum, ajitum, vAyayitum, vivIzitum, ajijizitum, vevIyitum ; vItiH, aktiH , 4 samajyA, vAyanA, vivIzA, vivAyayizA, ajijizA, AjijayizA , vevIyA ; pravayaRam 5 -prAjanam, vAyanam, vivIzaRam, ajijizaRam, vevIyanam ; vItvA, ajitvA, vAyayitvA, vivIzitvA, ajijizitvA, vevIyitvA ; pravIya, prAjya, pravAyya, pravivIzya, prAjijizya, pravevIyya ; vAyam 2, vItvA 2, ajitvA 2, vAyam 2 vAyayitvA 2, vivIzam 2, vivIzitvA 2, ajijizam 2, ajijizitvA 2, vevIyam 2, vevIyitvA 2; ORAdike = ajinam 6 -ajiram 7 ; [Page0010+ 27] 1. ‘ajervyaGaYapoH’ (2-4-56) iti vIBAvaH . 2. ‘valAdAvArDaDAtuke vezyate’ (2-4-56 vA) iti vA vIBAvaH . 1. A . ArDaDAtukavivakzAyAM vIBAvAt halAditvAt yaN . 2. ‘valAdAvArDaDAtuke vezyate’ (2-4-56 vA) iti vA vIBAvaH . A. ‘akarjito'sO hariKarjanotkaDIH ajatpaSubrAtamajena tejitam’ DA-kA -1-31. A. ‘akarjito'sO hariKarjanotkaDIH ajatpaSubrAtamajena tejitam’ DA-kA -1-31. 3. ‘ajAdyatazwAp’ (4-1-4) iti wAp 4. ‘ajyatiByAm—pAde ca’ (4-131) ityORAdikaH iR pratyayaH . 4. ‘ajyatiByAm—pAde ca’ (4-131) ityORAdikaH iR pratyayaH . 1. ‘samudorajaH paSuzu’ (3-3-69) ityapU . 1A ‘ajivrajyoSca’ (7-3-60) iti kutvaM na Bavati . ‘paSUnAM samajo 'nyezAM samAjo'Ta saDarmiRAm’ iti amarakoSaH . B. ‘guhAdvAreRa niryAtaH samajena paSUniva’ BawwikAvye -7-59. C. ‘meGAtyayopAttavanopaSoBaM kadambakaM vAtamajaM mfgARAm’ Ba-kA -2-17. 2. ‘vAtaSunItilaSarGezu ajaDewjahAtInAM’ ( vA . 3-2-28) iti KaS . mum . sArvaDAtukatvAnna vIBAvaH . 3. ‘gocarasaMcaravahavrajavyaja-’ (3-3-119) iti GAnto nipAtitaH . D. ‘nirvyAjamijyA vavfte vacaSca BUyo baBAze muninA kumAraH’ Ba-kA -2-37. 4. ‘saMjYAyAM samaja-’ (3-3-99) iti striyAM kyap . nipAtanAt vIBAvo na . 5. ‘vA yO’ (2-4-57) iti vIBAvo vA . 6. ajinam = carma . ajati-vIyate vA tat-karma, kartA vA . ina pratyayaH . 7. ajiram = veSma . ajantyasmin ityaDikaraRe kira pratyayaH .
aji	10	0010	(10) ‘aji BAzArTaH’ (X -curAdiH 1786 -saka . sew . uBa .) aYjakaH-YjikA, vyaYjakaH, aYjijayizakaH-zikA ; aYjayitA-trI, aYjijayizitA-trI ; aYjayan-ntI, aYjijayizan-ntI ; aYjayizyan-tI-ntI, aYjijayizizyan-tI-ntI ; aYjayamAnaH, aYjijayizamARaH ; aYjayizyamARaH, aYjijayizizyamARaH ; vyan-vyaYjO-vyaYjaH ; aYjitam-taH-tavAn, aYjijayizitaH-tavAn ; vyaYjaH, aYjijayizuH ; aYjayitavyam, aYjijayizitavyam ; vyaYjanIyam, aYjijayizaRIyam ; aYjyam, aYjijayizyam ; IzadaYjaH, duraYjaH, svaYjaH ; aYjyamAnaH, aYjijayizyamARaH ; aYjaH, aYjijayizaH ; aYjayitum, aYjijayizitum ; aYjanA-vyaYjanA, aYjijayizA ; vyaYjanam, aYjijayizaRam ; aYjayitvA, aYjijayizitvA ; aBivyaYjya, vyaYjijayizya ; vyaYjam 2, aYjayitvA 2, aYjijayizam 2 ; aYjijayizitvA 2;
